Competition,Matchday,Date,Home,Away,Position,Attendance
UEFA Champions League,7,13 February 2018,Juventus,Tottenham Hotspur,,"41,232"
UEFA Champions League,8,7 March 2018,Tottenham Hotspur,Juventus,,"84,010"
Premier League,1,12 August 2017,Brighton & Hove Albion,Manchester City,3,"30,415"
Premier League,2,21 August 2017,Manchester City,Everton,4,"54,009"
Premier League,3,26 August 2017,Bournemouth,Manchester City,2,"10,419"
Premier League,4,9 September 2017,Manchester City,Liverpool,2,"54,172"
Premier League,5,16 September 2017,Watford,Manchester City,1,"20,305"
Premier League,6,23 September 2017,Manchester City,Crystal Palace,1,"53,526"
Premier League,7,30 September 2017,Chelsea,Manchester City,1,"41,530"
Premier League,8,14 October 2017,Manchester City,Stoke City,1,"54,128"
Premier League,9,21 October 2017,Manchester City,Burnley,1,"54,118"
Premier League,10,28 October 2017,West Bromwich Albion,Manchester City,1,"24,003"
Premier League,11,5 November 2017,Manchester City,Arsenal,1,"54,286"
Premier League,12,18 November 2017,Leicester City,Manchester City,1,"31,908"
Premier League,13,26 November 2017,Huddersfield Town,Manchester City,1,"24,121"
Premier League,14,29 November 2017,Manchester City,Southampton,1,"53,407"
Premier League,15,3 December 2017,Manchester City,West Ham United,1,"54,203"
Premier League,16,10 December 2017,Manchester United,Manchester City,1,"74,847"
Premier League,17,13 December 2017,Swansea City,Manchester City,1,"20,870"
Premier League,18,16 December 2017,Manchester City,Tottenham Hotspur,1,"54,214"
Premier League,19,23 December 2017,Manchester City,Bournemouth,1,"54,270"
Premier League,20,27 December 2017,Newcastle United,Manchester City,1,"52,311"
Premier League,21,31 December 2017,Crystal Palace,Manchester City,1,"25,804"
Premier League,22,2 January 2018,Manchester City,Watford,1,"53,556"
Premier League,23,14 January 2018,Liverpool,Manchester City,1,"53,285"
Premier League,24,20 January 2018,Manchester City,Newcastle United,1,"54,452"
Premier League,25,31 January 2018,Manchester City,West Bromwich Albion,1,"53,241"
Premier League,26,3 February 2018,Burnley,Manchester City,1,"21,658"
Premier League,27,10 February 2018,Manchester City,Leicester City,1,"54,416"
Premier League,28,1 March 2018,Arsenal,Manchester City,1,"58,420"
Premier League,29,4 March 2018,Manchester City,Chelsea,1,"54,328"
Premier League,30,12 March 2018,Stoke City,Manchester City,1,"29,138"
Premier League,31,31 March 2018,Everton,Manchester City,1,"39,221"
Premier League,32,7 April 2018,Manchester City,Manchester United,1,"54,259"
Premier League,33,14 April 2018,Tottenham Hotspur,Manchester City,1,"80,811"
Premier League,34,22 April 2018,Manchester City,Swansea City,1,"54,387"
Premier League,35,29 April 2018,West Ham United,Manchester City,1,"56,904"
Premier League,36,6 May 2018,Manchester City,Huddersfield Town,1,"54,350"
Premier League,37,9 May 2018,Manchester City,Brighton & Hove Albion,1,"54,013"
Premier League,38,13 May 2018,Southampton,Manchester City,1,"31,882"
FA Cup,1,6 January 2018,Manchester City,Burnley,1,"53,285"
FA Cup,2,28 January 2018,Cardiff City,Manchester City,,"32,339"
FA Cup,3,19 February 2018,Wigan Athletic,Manchester City,,"19,242"
EFL Cup,1,20 September 2017,West Bromwich Albion,Manchester City,,"14,953"
EFL Cup,2,24 October 2017,Manchester City,Wolverhampton Wanderers,,"50,755"
EFL Cup,3,19 December 2017,Leicester City,Manchester City,,"31,562"
EFL Cup,4,9 January 2018,Manchester City,Bristol City,,"43,426"
EFL Cup,5,23 January 2018,Bristol City,Manchester City,,"26,003"
EFL Cup,6,25 February 2018,Arsenal,Manchester City,,"85,671"
UEFA Champions League,1,13 September 2017,Feyenoord,Manchester City,,"43,500"
UEFA Champions League,2,26 September 2017,Manchester City,Shakhtar Donetsk,,"45,310"
UEFA Champions League,3,17 October 2017,Manchester City,Napoli,,"48,520"
UEFA Champions League,4,1 November 2017,Napoli,Manchester City,,"44,483"
UEFA Champions League,5,21 November 2017,Manchester City,Feyenoord,,"43,548"
UEFA Champions League,6,6 December 2017,Shakhtar Donetsk,Manchester City,,"33,154"
UEFA Champions League,7,13 February 2018,Basel,Manchester City,,"36,000"
UEFA Champions League,8,7 March 2018,Manchester City,Basel,,"49,411"
UEFA Champions League,9,4 April 2018,Liverpool,Manchester City,,"50,685"
UEFA Champions League,10,10 April 2018,Manchester City,Liverpool,,"53,461"
Premier League,1,12 August 2017,Watford,Liverpool,9,"20,407"
Premier League,2,19 August 2017,Liverpool,Crystal Palace,6,"53,138"
Premier League,3,27 August 2017,Liverpool,Arsenal,2,"53,206"
Premier League,4,9 September 2017,Manchester City,Liverpool,8,"54,172"
Premier League,5,16 September 2017,Liverpool,Burnley,8,"53,231"
Premier League,6,23 September 2017,Leicester City,Liverpool,5,"32,004"
Premier League,7,1 October 2017,Newcastle United,Liverpool,7,"52,303"
Premier League,8,14 October 2017,Liverpool,Manchester United,8,"52,912"
Premier League,9,22 October 2017,Tottenham Hotspur,Liverpool,9,"80,827"
Premier League,10,28 October 2017,Liverpool,Huddersfield Town,6,"53,268"
Premier League,11,4 November 2017,West Ham United,Liverpool,5,"56,961"
Premier League,12,18 November 2017,Liverpool,Southampton,5,"53,256"
Premier League,13,25 November 2017,Liverpool,Chelsea,6,"53,225"
Premier League,14,29 November 2017,Stoke City,Liverpool,5,"29,423"
Premier League,15,2 December 2017,Brighton & Hove Albion,Liverpool,4,"30,631"
Premier League,16,10 December 2017,Liverpool,Everton,4,"53,082"
Premier League,17,13 December 2017,Liverpool,West Bromwich Albion,5,"53,243"
Premier League,18,17 December 2017,Bournemouth,Liverpool,4,"10,780"
Premier League,19,22 December 2017,Arsenal,Liverpool,4,"59,409"
Premier League,20,26 December 2017,Liverpool,Swansea City,4,"52,850"
Premier League,21,30 December 2017,Liverpool,Leicester City,4,"53,226"
Premier League,22,1 January 2018,Burnley,Liverpool,4,"21,756"
Premier League,23,14 January 2018,Liverpool,Manchester City,3,"53,285"
Premier League,24,22 January 2018,Swansea City,Liverpool,4,"20,886"
Premier League,25,30 January 2018,Huddersfield Town,Liverpool,3,"24,121"
Premier League,26,4 February 2018,Liverpool,Tottenham Hotspur,3,"53,213"
Premier League,27,11 February 2018,Southampton,Liverpool,3,"31,915"
Premier League,28,24 February 2018,Liverpool,West Ham United,3,"53,256"
Premier League,29,3 March 2018,Liverpool,Newcastle United,3,"53,287"
Premier League,30,10 March 2018,Manchester United,Liverpool,4,"74,855"
Premier League,31,17 March 2018,Liverpool,Watford,3,"53,287"
Premier League,32,17 March 2018,Crystal Palace,Liverpool,3,"25,807"
Premier League,33,7 April 2018,Everton,Liverpool,3,"39,220"
Premier League,34,14 April 2018,Liverpool,Bournemouth,3,"52,959"
Premier League,35,21 April 2018,West Bromwich Albion,Liverpool,3,"24,520"
Premier League,36,28 April 2018,Liverpool,Stoke City,3,"53,255"
Premier League,37,6 May 2018,Chelsea,Liverpool,4,"41,314"
Premier League,38,13 May 2018,Liverpool,Brighton & Hove Albion,4,"50,752"
FA Cup,1,5 January 2018,Liverpool,Everton,,"52,513"
FA Cup,2,27 January 2018,Liverpool,West Bromwich Albion,,"53,342"
EFL Cup,1,19 September 2017,Leicester City,Liverpool,,"31,609"
UEFA Champions League,1,15 August 2017,1899 Hoffenheim,Liverpool,,"25,568"
UEFA Champions League,2,23 August 2017,Liverpool,1899 Hoffenheim,,"51,808"
UEFA Champions League,3,23 August 2017,Liverpool,Sevilla,,"52,332"
UEFA Champions League,4,23 August 2017,Spartak Moscow,Liverpool,,"43,376"
UEFA Champions League,5,23 August 2017,Maribor,Liverpool,,"12,506"
UEFA Champions League,6,23 August 2017,Liverpool,Maribor,,"47,957"
UEFA Champions League,7,23 August 2017,Sevilla,Liverpool,,"39,495"
UEFA Champions League,8,23 August 2017,Liverpool,Spartak Moscow,,"48,779"
UEFA Champions League,9,14 February 2018,Porto,Liverpool,,"47,718"
UEFA Champions League,10,6 March 2018,Liverpool,Porto,,"51,121"
UEFA Champions League,11,4 April 2018,Liverpool,Manchester City,,"53,581"
UEFA Champions League,12,10 April 2018,Manchester City,Liverpool,,"53,461"
UEFA Champions League,13,24 April 2018,Liverpool,Roma,,"51,236"
UEFA Champions League,14,2 May 2018,Roma,Liverpool,,"61,889"
UEFA Champions League,15,26 May 2018,Real Madrid,Liverpool,,"61,561"
La Liga,1,20 August 2017,Barcelona,Real Betis,2,"56,480"
La Liga,2,26 August 2017,Alaves,Barcelona,2,"19,356"
La Liga,3,9 September 2017,Barcelona,Espanyol,1,"72,857"
La Liga,4,16 September 2017,Getafe,Barcelona,1,"15,164"
La Liga,5,19 September 2017,Barcelona,Eibar,1,"51,645"
La Liga,6,23 September 2017,Girona,Barcelona,1,"13,305"
La Liga,7,1 October 2017,Barcelona,Las Palmas,1,0
La Liga,8,14 October 2017,Atletico Madrid,Barcelona,1,"64,393"
La Liga,9,21 October 2017,Barcelona,Malaga,1,"74,397"
La Liga,10,28 October 2017,Athletic Bilbao,Barcelona,1,"43,570"
La Liga,11,4 November 2017,Barcelona,Sevilla,1,"70,723"
La Liga,12,18 November 2017,Leganes,Barcelona,1,"11,454"
La Liga,13,26 November 2017,Valencia,Barcelona,1,"47,775"
La Liga,14,2 December 2017,Barcelona,Celta Vigo,1,"63,208"
La Liga,15,10 December 2017,Villarreal,Barcelona,1,"21,087"
La Liga,16,17 December 2017,Barcelona,Deportivo La Coruna,1,"53,607"
La Liga,17,23 December 2017,Real Madrid,Barcelona,1,"80,264"
La Liga,18,7 January 2018,Barcelona,Levante,1,"56,380"
La Liga,19,14 January 2018,Real Sociedad,Barcelona,1,"23,277"
La Liga,20,21 January 2018,Real Betis,Barcelona,1,"53,426"
La Liga,21,28 January 2018,Barcelona,Alaves,1,"62,369"
La Liga,22,4 February 2018,Espanyol,Barcelona,1,"23,287"
La Liga,23,11 February 2018,Barcelona,Getafe,1,"75,681"
La Liga,24,17 February 2018,Eibar,Barcelona,1,"6,760"
La Liga,25,24 February 2018,Barcelona,Girona,1,"85,417"
La Liga,26,1 March 2018,Las Palmas,Barcelona,1,"23,778"
La Liga,27,4 March 2018,Barcelona,Atletico Madrid,1,"90,356"
La Liga,28,10 March 2018,Malaga,Barcelona,1,"26,667"
La Liga,29,18 March 2018,Barcelona,Athletic Bilbao,1,"84,053"
La Liga,30,31 March 2018,Sevilla,Barcelona,1,"37,588"
La Liga,31,7 April 2018,Barcelona,Leganes,1,"72,126"
La Liga,32,14 April 2018,Barcelona,Valencia,1,"69,544"
La Liga,33,17 April 2018,Celta Vigo,Barcelona,1,"20,347"
La Liga,34,29 April 2018,Deportivo La Coruna,Barcelona,1,"25,721"
La Liga,35,6 May 2018,Barcelona,Real Madrid,1,"97,939"
La Liga,36,9 May 2018,Barcelona,Villarreal,1,"54,743"
La Liga,37,13 May 2018,Levante,Barcelona,1,"22,384"
La Liga,38,20 May 2018,Barcelona,Real Sociedad,1,"84,168"
Copa del Rey,1,24 October 2017,Real Murcia,Barcelona,,"16,127"
Copa del Rey,2,29 November 2017,Barcelona,Real Murcia,,"68,775"
Copa del Rey,3,4 January 2018,Celta Vigo,Barcelona,,"21,338"
Copa del Rey,4,11 January 2018,Barcelona,Celta Vigo,,"59,009"
Copa del Rey,5,17 January 2018,Espanyol,Barcelona,,"23,323"
Copa del Rey,6,25 January 2018,Barcelona,Espanyol,,"79,774"
Copa del Rey,7,1 February 2018,Barcelona,Valencia,,"50,959"
Copa del Rey,8,8 February 2018,Valencia,Barcelona,,"43,335"
Copa del Rey,9,21 April 2018,Sevilla,Barcelona,,"67,500"
Supercopa de Espana,1,21 April 2018,Barcelona,Real Madrid,,"89,514"
Supercopa de Espana,2,21 April 2018,Real Madrid,Barcelona,,"75,167"
UEFA Champions League,1,12 September 2017,Barcelona,Juventus,,"78,656"
UEFA Champions League,2,27 September 2017,Sporting CP,Barcelona,,"48,575"
UEFA Champions League,3,18 October 2017,Barcelona,Olympiacos,,"55,026"
UEFA Champions League,4,31 October 2017,Olympiacos,Barcelona,,"31,600"
UEFA Champions League,5,22 November 2017,Juventus,Barcelona,,"40,876"
UEFA Champions League,6,5 December 2017,Barcelona,Sporting CP,,"48,336"
UEFA Champions League,7,20 February 2018,Chelsea,Barcelona,,"37,741"
UEFA Champions League,8,14 March 2018,Barcelona,Chelsea,,"97,183"
UEFA Champions League,9,4 April 2018,Barcelona,Roma,,"90,106"
UEFA Champions League,10,10 April 2018,Roma,Barcelona,,"56,580"
La Liga,1,20 August 2017,Deportivo La Coruna,Real Madrid,1,"27,801"
La Liga,2,27 August 2017,Real Madrid,Valencia,5,"61,739"
La Liga,3,9 September 2017,Real Madrid,Levante,7,"67,789"
La Liga,4,17 September 2017,Real Sociedad,Real Madrid,4,"24,675"
La Liga,5,20 September 2017,Real Madrid,Real Betis,8,"61,757"
La Liga,6,23 September 2017,Alaves,Real Madrid,6,"19,559"
La Liga,7,1 October 2017,Real Madrid,Espanyol,5,"71,205"
La Liga,8,14 October 2017,Getafe,Real Madrid,3,"15,350"
La Liga,9,22 October 2017,Real Madrid,Eibar,3,"63,705"
La Liga,10,29 October 2017,Girona,Real Madrid,3,"13,382"
La Liga,11,5 November 2017,Real Madrid,Las Palmas,3,"63,326"
La Liga,12,18 November 2017,Atletico Madrid,Real Madrid,3,"66,591"
La Liga,13,25 November 2017,Real Madrid,Malaga,4,"75,671"
La Liga,14,2 December 2017,Athletic Bilbao,Real Madrid,4,"44,992"
La Liga,15,9 December 2017,Real Madrid,Sevilla,4,"76,924"
La Liga,16,23 December 2017,Real Madrid,Barcelona,4,"80,737"
La Liga,17,7 January 2018,Celta Vigo,Real Madrid,4,"20,895"
La Liga,18,13 January 2018,Real Madrid,Villarreal,4,"63,477"
La Liga,19,21 January 2018,Real Madrid,Deportivo La Coruna,4,"63,468"
La Liga,20,27 January 2018,Valencia,Real Madrid,4,"47,076"
La Liga,21,3 February 2018,Levante,Real Madrid,4,"23,542"
La Liga,22,10 February 2018,Real Madrid,Real Sociedad,4,"63,800"
La Liga,23,18 February 2018,Real Betis,Real Madrid,4,"53,533"
La Liga,24,21 February 2018,Leganes,Real Madrid,3,"11,423"
La Liga,25,24 February 2018,Real Madrid,Alaves,3,"65,228"
La Liga,26,27 February 2018,Espanyol,Real Madrid,3,"19,805"
La Liga,27,3 March 2018,Real Madrid,Getafe,3,"55,143"
La Liga,28,10 March 2018,Eibar,Real Madrid,3,"6,707"
La Liga,29,18 March 2018,Real Madrid,Girona,3,"59,205"
La Liga,30,31 March 2018,Las Palmas,Real Madrid,3,"22,785"
La Liga,31,8 April 2018,Real Madrid,Atletico Madrid,4,"78,536"
La Liga,32,15 April 2018,Malaga,Real Madrid,3,"27,117"
La Liga,33,18 April 2018,Real Madrid,Athletic Bilbao,3,"59,293"
La Liga,34,28 April 2018,Real Madrid,Leganes,3,"59,812"
La Liga,35,6 May 2018,Barcelona,Real Madrid,3,"97,939"
La Liga,36,9 May 2018,Sevilla,Real Madrid,3,"38,524"
La Liga,37,12 May 2018,Real Madrid,Celta Vigo,3,"56,583"
La Liga,38,19 May 2018,Villarreal,Real Madrid,3,"18,891"
Copa del Rey,1,26 October 2017,Fuenlabrada,Real Madrid,,"7,200"
Copa del Rey,2,28 November 2017,Real Madrid,Fuenlabrada,,"49,638"
Copa del Rey,3,4 January 2018,Numancia,Real Madrid,,"8,787"
Copa del Rey,4,10 January 2018,Real Madrid,Numancia,,"37,553"
Copa del Rey,5,18 January 2018,Leganes,Real Madrid,,"11,327"
Copa del Rey,6,24 January 2018,Real Madrid,Leganes,,"46,409"
Supercopa de Espana,1,13 August 2017,Barcelona,Real Madrid,,"89,514"
Supercopa de Espana,2,16 August 2017,Real Madrid,Barcelona,,"75,167"
UEFA Champions League,1,13 September 2017,Real Madrid,APOEL,,"71,060"
UEFA Champions League,2,26 September 2017,Borussia Dortmund,Real Madrid,,"65,849"
UEFA Champions League,3,17 October 2017,Real Madrid,Tottenham Hotspur,,"76,589"
UEFA Champions League,4,1 November 2017,Tottenham Hotspur,Real Madrid,,"83,782"
UEFA Champions League,5,21 November 2017,APOEL,Real Madrid,,"19,705"
UEFA Champions League,6,6 December 2017,Real Madrid,Borussia Dortmund,,"73,323"
UEFA Champions League,7,14 February 2018,Real Madrid,Paris Saint-Germain,,"78,158"
UEFA Champions League,8,6 March 2018,Paris Saint-Germain,Real Madrid,,"46,585"
UEFA Champions League,9,3 April 2018,Juventus,Real Madrid,,"40,849"
UEFA Champions League,10,11 April 2018,Real Madrid,Juventus,,"75,796"
UEFA Champions League,11,25 April 2018,Bayern Munich,Real Madrid,,"70,000"
UEFA Champions League,12,1 May 2018,Real Madrid,Bayern Munich,,"77,459"
UEFA Champions League,13,26 May 2018,Real Madrid,Liverpool,,"61,561"
UEFA Super Cup,1,8 August 2017,Real Madrid,Manchester United,,"30,421"
FIFA Club World Cup,1,13 December 2017,Al-Jazira,Real Madrid,,"36,650"
FIFA Club World Cup,2,16 December 2017,Real Madrid,Gremio,,"41,094"
La Liga,1,19 August 2017,Girona,Atletico Madrid,8,"11,511"
La Liga,2,26 August 2017,Las Palmas,Atletico Madrid,4,"20,310"
La Liga,3,9 September 2017,Valencia,Atletico Madrid,6,"43,859"
La Liga,4,16 September 2017,Atletico Madrid,Malaga,5,"63,114"
La Liga,5,20 September 2017,Athletic Bilbao,Atletico Madrid,3,"43,381"
La Liga,6,23 September 2017,Atletico Madrid,Sevilla,2,"60,823"
La Liga,7,30 September 2017,Leganes,Atletico Madrid,4,"11,454"
La Liga,8,15 October 2017,Atletico Madrid,Barcelona,4,"64,393"
La Liga,9,22 October 2017,Celta Vigo,Atletico Madrid,4,"12,978"
La Liga,10,28 October 2017,Atletico Madrid,Villarreal,4,"61,421"
La Liga,11,4 November 2017,Deportivo La Coruna,Atletico Madrid,4,"22,733"
La Liga,12,18 November 2017,Atletico Madrid,Real Madrid,4,"66,496"
La Liga,13,25 November 2017,Levante,Atletico Madrid,3,"21,549"
La Liga,14,2 December 2017,Atletico Madrid,Real Sociedad,3,"57,394"
La Liga,15,10 December 2017,Real Betis,Atletico Madrid,3,"45,517"
La Liga,16,17 December 2017,Atletico Madrid,Alaves,2,"49,937"
La Liga,17,22 December 2017,Espanyol,Atletico Madrid,2,"19,327"
La Liga,18,6 January 2018,Atletico Madrid,Getafe,2,"47,023"
La Liga,19,13 January 2018,Eibar,Atletico Madrid,2,"6,186"
La Liga,20,21 January 2018,Atletico Madrid,Girona,2,"55,076"
La Liga,21,28 January 2018,Atletico Madrid,Las Palmas,2,"55,363"
La Liga,22,4 February 2018,Atletico Madrid,Valencia,2,"49,596"
La Liga,23,10 February 2018,Malaga,Atletico Madrid,2,"25,482"
La Liga,24,18 February 2018,Atletico Madrid,Athletic Bilbao,2,"60,022"
La Liga,25,25 February 2018,Sevilla,Atletico Madrid,2,"37,884"
La Liga,26,28 February 2018,Atletico Madrid,Leganes,2,"35,033"
La Liga,27,4 March 2018,Barcelona,Atletico Madrid,2,"90,356"
La Liga,28,11 March 2018,Atletico Madrid,Celta Vigo,2,"55,076"
La Liga,29,18 March 2018,Villarreal,Atletico Madrid,2,"19,385"
La Liga,30,1 April 2018,Atletico Madrid,Deportivo La Coruna,2,"49,007"
La Liga,31,8 April 2018,Real Madrid,Atletico Madrid,2,"78,769"
La Liga,32,15 April 2018,Atletico Madrid,Levante,2,"58,043"
La Liga,33,18 April 2018,Real Sociedad,Atletico Madrid,2,"21,404"
La Liga,34,22 April 2018,Atletico Madrid,Real Betis,2,"54,594"
La Liga,35,29 April 2018,Alaves,Atletico Madrid,2,"19,944"
La Liga,36,6 May 2018,Atletico Madrid,Espanyol,2,"49,834"
La Liga,37,12 May 2018,Getafe,Atletico Madrid,2,"12,187"
La Liga,38,20 May 2018,Atletico Madrid,Eibar,2,"63,229"
Copa del Rey,1,25 October 2017,Elche,Atletico Madrid,2,"15,080"
Copa del Rey,2,29 November 2017,Atletico Madrid,Elche,,"46,723"
Copa del Rey,3,3 January 2018,Lleida Esportiu,Atletico Madrid,,"12,532"
Copa del Rey,4,9 January 2018,Atletico Madrid,Lleida Esportiu,,"28,033"
Copa del Rey,5,17 January 2018,Atletico Madrid,Sevilla,,"51,643"
Copa del Rey,6,23 January 2018,Sevilla,Atletico Madrid,,"39,918"
UEFA Champions League,1,12 September 2017,Roma,Atletico Madrid,,"36,064"
UEFA Champions League,2,27 September 2017,Atletico Madrid,Chelsea,,"60,643"
UEFA Champions League,3,18 October 2017,Qarabag,Atletico Madrid,,"47,923"
UEFA Champions League,4,31 October 2017,Atletico Madrid,Qarabag,,"55,893"
UEFA Champions League,5,22 November 2017,Atletico Madrid,Roma,,"56,253"
UEFA Champions League,6,5 December 2017,Chelsea,Atletico Madrid,,"40,875"
UEFA Europa League,1,15 February 2018,Copenhagen,Atletico Madrid,,"34,912"
UEFA Europa League,2,22 February 2018,Atletico Madrid,Copenhagen,,"44,035"
UEFA Europa League,3,8 March 2018,Atletico Madrid,Lokomotiv Moscow,,"40,767"
UEFA Europa League,4,15 March 2018,Lokomotiv Moscow,Atletico Madrid,,"22,041"
UEFA Europa League,5,5 April 2018,Atletico Madrid,Sporting CP,,"53,301"
UEFA Europa League,6,12 April 2018,Sporting CP,Atletico Madrid,,"28,437"
UEFA Europa League,7,26 April 2018,Arsenal,Atletico Madrid,,"59,066"
UEFA Europa League,8,3 May 2018,Atletico Madrid,Arsenal,,"64,196"
UEFA Europa League,9,16 May 2018,Marseille,Atletico Madrid,,"55,768"
Bundesliga,1,18 August 2017,Bayern Munich,Bayer Leverkusen,2,"75,000"
Bundesliga,2,26 August 2017,Werder Bremen,Bayern Munich,2,"42,100"
Bundesliga,3,9 September 2017,1899 Hoffenheim,Bayern Munich,6,"30,150"
Bundesliga,4,16 September 2017,Bayern Munich,Mainz 05,3,"75,000"
Bundesliga,5,19 September 2017,Schalke 04,Bayern Munich,2,"62,271"
Bundesliga,6,22 September 2017,Bayern Munich,VfL Wolfsburg,3,"75,000"
Bundesliga,7,1 October 2017,Hertha BSC,Bayern Munich,2,"71,212"
Bundesliga,8,14 October 2017,Bayern Munich,SC Freiburg,2,"75,000"
Bundesliga,9,21 October 2017,Hamburger SV,Bayern Munich,2,"57,000"
Bundesliga,10,28 October 2017,Bayern Munich,RB Leipzig,1,"75,000"
Bundesliga,11,4 November 2017,Borussia Dortmund,Bayern Munich,1,"81,360"
Bundesliga,12,18 November 2017,Bayern Munich,FC Augsburg,1,"75,000"
Bundesliga,13,25 November 2017,Borussia Monchengladbach,Bayern Munich,1,"54,018"
Bundesliga,14,2 December 2017,Bayern Munich,Hannover 96,1,"75,000"
Bundesliga,15,9 December 2017,Eintracht Frankfurt,Bayern Munich,1,"51,500"
Bundesliga,16,13 December 2017,Bayern Munich,1. FC Koln,1,"75,000"
Bundesliga,17,16 December 2017,VfB Stuttgart,Bayern Munich,1,"58,885"
Bundesliga,18,12 January 2018,Bayer Leverkusen,Bayern Munich,1,"30,210"
Bundesliga,19,21 January 2018,Bayern Munich,Werder Bremen,1,"75,000"
Bundesliga,20,27 January 2018,Bayern Munich,1899 Hoffenheim,1,"75,000"
Bundesliga,21,3 February 2018,Mainz 05,Bayern Munich,1,"34,000"
Bundesliga,22,10 February 2018,Bayern Munich,Schalke 04,1,"75,000"
Bundesliga,23,17 February 2018,VfL Wolfsburg,Bayern Munich,1,"30,000"
Bundesliga,24,24 February 2018,Bayern Munich,Hertha BSC,1,"75,000"
Bundesliga,25,4 March 2018,SC Freiburg,Bayern Munich,1,"24,000"
Bundesliga,26,10 March 2018,Bayern Munich,Hamburger SV,1,"75,000"
